disease_focused,assay_importance,parent_compound_chembl_id,parent_compound_specificity,assay_chembl_id,assay_cluster,target_chembl_id,target_uniprot_ids,OT_uniprot_id,OT_symbol,OT_overall_score
AML,1,CHEMBL3301622,specific,CHEMBL3991778,Not AML cell lines,CHEMBL2208,"['P49137', 'Q5SY30', 'Q5SY41', 'Q8IYD6']",P49137,['MAPKAPK2'],0.0047737397896773
AML,1,CHEMBL608533,specific,CHEMBL3991778,Not AML cell lines,CHEMBL2208,"['P49137', 'Q5SY30', 'Q5SY41', 'Q8IYD6']",P49137,['MAPKAPK2'],0.0047737397896773
AML,1,CHEMBL576982,specific,CHEMBL3991778,Not AML cell lines,CHEMBL2208,"['P49137', 'Q5SY30', 'Q5SY41', 'Q8IYD6']",P49137,['MAPKAPK2'],0.0047737397896773
AML,1,CHEMBL3301622,specific,CHEMBL3991813,Not AML cell lines,CHEMBL4482,"['B4DGG6', 'O96013', 'Q8N4E1', 'Q8NCH5', 'Q8NDE3', 'Q9BU33', 'Q9ULS8']",O96013,['PAK4'],0.0046480826390845
AML,1,CHEMBL608533,specific,CHEMBL3991813,Not AML cell lines,CHEMBL4482,"['B4DGG6', 'O96013', 'Q8N4E1', 'Q8NCH5', 'Q8NDE3', 'Q9BU33', 'Q9ULS8']",O96013,['PAK4'],0.0046480826390845
AML,1,CHEMBL576982,specific,CHEMBL3991813,Not AML cell lines,CHEMBL4482,"['B4DGG6', 'O96013', 'Q8N4E1', 'Q8NCH5', 'Q8NDE3', 'Q9BU33', 'Q9ULS8']",O96013,['PAK4'],0.0046480826390845
AML,1,CHEMBL3301622,specific,CHEMBL3991699,Not AML cell lines,CHEMBL4105852,"['O60841', 'O95805', 'Q53RV7', 'Q53SI8', 'Q9UF81', 'Q9UMN7']",O60841,['EIF5B'],0.0044456598903695
AML,1,CHEMBL608533,specific,CHEMBL3991699,Not AML cell lines,CHEMBL4105852,"['O60841', 'O95805', 'Q53RV7', 'Q53SI8', 'Q9UF81', 'Q9UMN7']",O60841,['EIF5B'],0.0044456598903695
AML,1,CHEMBL576982,specific,CHEMBL3991699,Not AML cell lines,CHEMBL4105852,"['O60841', 'O95805', 'Q53RV7', 'Q53SI8', 'Q9UF81', 'Q9UMN7']",O60841,['EIF5B'],0.0044456598903695
AML,1,CHEMBL3301622,specific,CHEMBL3991741,Not AML cell lines,CHEMBL5081,"['B4DQ57', 'Q9Y616']",Q9Y616,['IRAK3'],0.0044349582562164
AML,1,CHEMBL3301622,specific,CHEMBL3991780,Not AML cell lines,CHEMBL3094,"['B3KVA5', 'O60491', 'Q86X46', 'Q8IW41', 'Q9BVX9', 'Q9UG86']",Q8IW41,['MAPKAPK5'],0.0044349582562164
AML,1,CHEMBL3301622,specific,CHEMBL3991887,Not AML cell lines,CHEMBL4105972,"['O75643', 'O94884', 'Q6NZY0', 'Q6PX59', 'Q8NBE6', 'Q96IF2', 'Q9H7S0']",O75643,['SNRNP200'],0.0044349582562164
AML,1,CHEMBL608533,specific,CHEMBL3991741,Not AML cell lines,CHEMBL5081,"['B4DQ57', 'Q9Y616']",Q9Y616,['IRAK3'],0.0044349582562164
AML,1,CHEMBL608533,specific,CHEMBL3991780,Not AML cell lines,CHEMBL3094,"['B3KVA5', 'O60491', 'Q86X46', 'Q8IW41', 'Q9BVX9', 'Q9UG86']",Q8IW41,['MAPKAPK5'],0.0044349582562164
AML,1,CHEMBL608533,specific,CHEMBL3991887,Not AML cell lines,CHEMBL4105972,"['O75643', 'O94884', 'Q6NZY0', 'Q6PX59', 'Q8NBE6', 'Q96IF2', 'Q9H7S0']",O75643,['SNRNP200'],0.0044349582562164
AML,1,CHEMBL576982,specific,CHEMBL3991741,Not AML cell lines,CHEMBL5081,"['B4DQ57', 'Q9Y616']",Q9Y616,['IRAK3'],0.0044349582562164
AML,1,CHEMBL576982,specific,CHEMBL3991780,Not AML cell lines,CHEMBL3094,"['B3KVA5', 'O60491', 'Q86X46', 'Q8IW41', 'Q9BVX9', 'Q9UG86']",Q8IW41,['MAPKAPK5'],0.0044349582562164
AML,1,CHEMBL576982,specific,CHEMBL3991887,Not AML cell lines,CHEMBL4105972,"['O75643', 'O94884', 'Q6NZY0', 'Q6PX59', 'Q8NBE6', 'Q96IF2', 'Q9H7S0']",O75643,['SNRNP200'],0.0044349582562164
AML,1,CHEMBL178,acceptable,CHEMBL2078561,Not AML cell lines,CHEMBL5748,"['B2RMT8', 'Q14022', 'Q5T2B1', 'Q92500', 'Q92798', 'Q92887', 'Q99663', 'Q9UMS2']",Q92887,['ABCC2'],0.0042296361147249
AML,1,CHEMBL803,acceptable,CHEMBL4028922,Not AML cell lines,CHEMBL5748,"['B2RMT8', 'Q14022', 'Q5T2B1', 'Q92500', 'Q92798', 'Q92887', 'Q99663', 'Q9UMS2']",Q92887,['ABCC2'],0.0042296361147249
AML,1,CHEMBL384467,acceptable,CHEMBL4028922,Not AML cell lines,CHEMBL5748,"['B2RMT8', 'Q14022', 'Q5T2B1', 'Q92500', 'Q92798', 'Q92887', 'Q99663', 'Q9UMS2']",Q92887,['ABCC2'],0.0042296361147249
AML,1,CHEMBL635,acceptable,CHEMBL1006005,Not AML cell lines,CHEMBL5748,"['B2RMT8', 'Q14022', 'Q5T2B1', 'Q92500', 'Q92798', 'Q92887', 'Q99663', 'Q9UMS2']",Q92887,['ABCC2'],0.0042296361147249
AML,1,CHEMBL3301622,specific,CHEMBL3991868,Not AML cell lines,CHEMBL5014,"['B7Z748', 'O43353', 'Q6UWF0']",O43353,['RIPK2'],0.0041989193746667
AML,1,CHEMBL608533,specific,CHEMBL3991868,Not AML cell lines,CHEMBL5014,"['B7Z748', 'O43353', 'Q6UWF0']",O43353,['RIPK2'],0.0041989193746667
AML,1,CHEMBL576982,specific,CHEMBL3991868,Not AML cell lines,CHEMBL5014,"['B7Z748', 'O43353', 'Q6UWF0']",O43353,['RIPK2'],0.0041989193746667
AML,1,CHEMBL178,acceptable,CHEMBL1614342,Not AML cell lines,CHEMBL1293277,"['B4DET3', 'O15118', 'Q9P130']",O15118,['NPC1'],0.0040653784015317
AML,1,CHEMBL3301622,specific,CHEMBL3991765,Not AML cell lines,CHEMBL5330,"['Q12851', 'Q86VU3']",Q12851,['MAP4K2'],0.0040653784015317
AML,1,CHEMBL3301622,specific,CHEMBL3991882,Not AML cell lines,CHEMBL3709670,"['B2RCV1', 'O43350', 'P05141']",P05141,['SLC25A5'],0.0040653784015317
AML,1,CHEMBL1117,specific,CHEMBL1614342,Not AML cell lines,CHEMBL1293277,"['B4DET3', 'O15118', 'Q9P130']",O15118,['NPC1'],0.0040653784015317
AML,1,CHEMBL608533,specific,CHEMBL3991765,Not AML cell lines,CHEMBL5330,"['Q12851', 'Q86VU3']",Q12851,['MAP4K2'],0.0040653784015317
AML,1,CHEMBL608533,specific,CHEMBL3991882,Not AML cell lines,CHEMBL3709670,"['B2RCV1', 'O43350', 'P05141']",P05141,['SLC25A5'],0.0040653784015317
AML,1,CHEMBL576982,specific,CHEMBL3991765,Not AML cell lines,CHEMBL5330,"['Q12851', 'Q86VU3']",Q12851,['MAP4K2'],0.0040653784015317
AML,1,CHEMBL576982,specific,CHEMBL3991882,Not AML cell lines,CHEMBL3709670,"['B2RCV1', 'O43350', 'P05141']",P05141,['SLC25A5'],0.0040653784015317
AML,1,CHEMBL178,acceptable,CHEMBL1794467,Not AML cell lines,CHEMBL1795087,"['A0PJ95', 'D3DQ57', 'O94782', 'Q05BX7', 'Q59H66', 'Q9UFR0', 'Q9UNJ3']",O94782,['USP1'],0.0039089229297151
AML,1,CHEMBL178,acceptable,CHEMBL3214953,Not AML cell lines,CHEMBL1795087,"['A0PJ95', 'D3DQ57', 'O94782', 'Q05BX7', 'Q59H66', 'Q9UFR0', 'Q9UNJ3']",O94782,['USP1'],0.0039089229297151
AML,1,CHEMBL803,acceptable,CHEMBL3214953,Not AML cell lines,CHEMBL1795087,"['A0PJ95', 'D3DQ57', 'O94782', 'Q05BX7', 'Q59H66', 'Q9UFR0', 'Q9UNJ3']",O94782,['USP1'],0.0039089229297151
AML,1,CHEMBL1117,specific,CHEMBL1794467,Not AML cell lines,CHEMBL1795087,"['A0PJ95', 'D3DQ57', 'O94782', 'Q05BX7', 'Q59H66', 'Q9UFR0', 'Q9UNJ3']",O94782,['USP1'],0.0039089229297151
AML,1,CHEMBL1117,specific,CHEMBL3214953,Not AML cell lines,CHEMBL1795087,"['A0PJ95', 'D3DQ57', 'O94782', 'Q05BX7', 'Q59H66', 'Q9UFR0', 'Q9UNJ3']",O94782,['USP1'],0.0039089229297151
AML,1,CHEMBL1489,acceptable,CHEMBL1738588,Not AML cell lines,CHEMBL1741209,"['Q05DH0', 'Q69YR6', 'Q96QE3', 'Q9H9I1']",Q96QE3,['ATAD5'],0.003695798546847
AML,1,CHEMBL1489,acceptable,CHEMBL1738675,Not AML cell lines,CHEMBL1741209,"['Q05DH0', 'Q69YR6', 'Q96QE3', 'Q9H9I1']",Q96QE3,['ATAD5'],0.003695798546847
AML,1,CHEMBL1489,acceptable,CHEMBL1737868,Not AML cell lines,CHEMBL1741209,"['Q05DH0', 'Q69YR6', 'Q96QE3', 'Q9H9I1']",Q96QE3,['ATAD5'],0.003695798546847
AML,1,CHEMBL1489,acceptable,CHEMBL1738317,Not AML cell lines,CHEMBL1741209,"['Q05DH0', 'Q69YR6', 'Q96QE3', 'Q9H9I1']",Q96QE3,['ATAD5'],0.003695798546847
