disease_focused,assay_importance,parent_compound_chembl_id,parent_compound_specificity,assay_chembl_id,assay_cluster,target_chembl_id,target_uniprot_ids,OT_uniprot_id,OT_symbol,OT_overall_score
AML,2,CHEMBL384467,acceptable,CHEMBL3096915,940,CHEMBL2034,"['A0ZXF9', 'B0LPG8', 'D3DQF4', 'F5ATB7', 'P04150', 'P04151', 'Q53EP5', 'Q6N0A4']",P04150,['NR3C1'],0.4249963348393475
AML,2,CHEMBL384467,acceptable,CHEMBL3241426,938,CHEMBL2034,"['A0ZXF9', 'B0LPG8', 'D3DQF4', 'F5ATB7', 'P04150', 'P04151', 'Q53EP5', 'Q6N0A4']",P04150,['NR3C1'],0.4249963348393475
AML,2,CHEMBL384467,acceptable,CHEMBL1912091,937,CHEMBL2034,"['A0ZXF9', 'B0LPG8', 'D3DQF4', 'F5ATB7', 'P04150', 'P04151', 'Q53EP5', 'Q6N0A4']",P04150,['NR3C1'],0.4249963348393475
AML,2,CHEMBL384467,acceptable,CHEMBL3096916,936,CHEMBL2034,"['A0ZXF9', 'B0LPG8', 'D3DQF4', 'F5ATB7', 'P04150', 'P04151', 'Q53EP5', 'Q6N0A4']",P04150,['NR3C1'],0.4249963348393475
AML,2,CHEMBL384467,acceptable,CHEMBL3370901,936,CHEMBL2034,"['A0ZXF9', 'B0LPG8', 'D3DQF4', 'F5ATB7', 'P04150', 'P04151', 'Q53EP5', 'Q6N0A4']",P04150,['NR3C1'],0.4249963348393475
AML,2,CHEMBL384467,acceptable,CHEMBL3424578,936,CHEMBL2034,"['A0ZXF9', 'B0LPG8', 'D3DQF4', 'F5ATB7', 'P04150', 'P04151', 'Q53EP5', 'Q6N0A4']",P04150,['NR3C1'],0.4249963348393475
AML,2,CHEMBL384467,acceptable,CHEMBL1106115,935,CHEMBL2034,"['A0ZXF9', 'B0LPG8', 'D3DQF4', 'F5ATB7', 'P04150', 'P04151', 'Q53EP5', 'Q6N0A4']",P04150,['NR3C1'],0.4249963348393475
AML,2,CHEMBL384467,acceptable,CHEMBL1106118,935,CHEMBL2034,"['A0ZXF9', 'B0LPG8', 'D3DQF4', 'F5ATB7', 'P04150', 'P04151', 'Q53EP5', 'Q6N0A4']",P04150,['NR3C1'],0.4249963348393475
AML,2,CHEMBL1489,acceptable,CHEMBL4137467,934,CHEMBL1993,"['A0AV63', 'B7ZLW6', 'P26358', 'Q9UHG5', 'Q9ULA2', 'Q9UMZ6']",P26358,['DNMT1'],0.6471545533203773
AML,2,CHEMBL1489,acceptable,CHEMBL4137466,934,CHEMBL6032,"['B0UZY2', 'Q14349', 'Q5JP83', 'Q5JQ92', 'Q5JQA1', 'Q5JQG3', 'Q6PK06', 'Q96KQ7', 'Q96MH5', 'Q96QD0', 'Q9UQL8', 'Q9Y331']",Q96KQ7,['EHMT2'],0.0967504717506105
AML,2,CHEMBL178,acceptable,CHEMBL2025279,933,CHEMBL325,"['Q13547', 'Q92534']",Q13547,['HDAC1'],0.3282621292556385
AML,2,CHEMBL178,acceptable,CHEMBL2025280,933,CHEMBL1865,"['O94975', 'Q6NT75', 'Q7L3E5', 'Q96CY0', 'Q9UBN7']",Q9UBN7,['HDAC6'],0.3074116199071472
AML,2,CHEMBL178,acceptable,CHEMBL2025281,933,CHEMBL3192,"['A6ND12', 'A6ND61', 'A6NET3', 'A6NJR3', 'A8MQ62', 'B4DKN0', 'B4DV22', 'Q86VC8', 'Q9BY41', 'Q9NP76', 'Q9NYH4']",Q9BY41,['HDAC8'],0.1301264650950919
AML,2,CHEMBL3137309,acceptable,CHEMBL4828452,932,CHEMBL4860,"['C9JHD5', 'P10415', 'P10416', 'Q13842', 'Q16197']",P10415,['BCL2'],0.6223598589937014
AML,2,CHEMBL3137309,acceptable,CHEMBL4828453,932,CHEMBL4625,"['E1P5L6', 'Q07817', 'Q5CZ89', 'Q5TE65', 'Q92976']",Q07817,['BCL2L1'],0.1138204376836748
AML,2,CHEMBL608533,specific,CHEMBL1051266,931,CHEMBL1974,"['A0AVG9', 'B7ZLT7', 'B7ZLT8', 'F5H0A0', 'P36888', 'Q13414']",P36888,['FLT3'],0.821081847621124
AML,2,CHEMBL576982,specific,CHEMBL4337765,930,CHEMBL1974,"['A0AVG9', 'B7ZLT7', 'B7ZLT8', 'F5H0A0', 'P36888', 'Q13414']",P36888,['FLT3'],0.821081847621124
AML,2,CHEMBL576982,specific,CHEMBL4337764,929,CHEMBL279,"['A2RRS0', 'B5A925', 'C5IFA0', 'O60723', 'P35968', 'Q14178']",P35968,['KDR'],0.5830294541889404
AML,2,CHEMBL576982,specific,CHEMBL4337766,929,CHEMBL1955,"['A8K6L4', 'B5A926', 'P35916', 'Q16067', 'Q86W07', 'Q86W08']",P35916,['FLT4'],0.4287435613452183
AML,2,CHEMBL576982,specific,CHEMBL3361932,928,CHEMBL1974,"['A0AVG9', 'B7ZLT7', 'B7ZLT8', 'F5H0A0', 'P36888', 'Q13414']",P36888,['FLT3'],0.821081847621124
AML,2,CHEMBL576982,specific,CHEMBL3361927,927,CHEMBL1974,"['A0AVG9', 'B7ZLT7', 'B7ZLT8', 'F5H0A0', 'P36888', 'Q13414']",P36888,['FLT3'],0.821081847621124
AML,2,CHEMBL803,acceptable,CHEMBL886766,926,CHEMBL2883,"['B2RC58', 'P04183', 'Q969V0', 'Q9UMG9']",P04183,['TK1'],0.0160402664279264
AML,2,CHEMBL178,acceptable,CHEMBL1647795,920,CHEMBL1806,"['B2RTS1', 'P11388', 'Q71UN1', 'Q71UQ5', 'Q9HB24', 'Q9HB25', 'Q9HB26', 'Q9UP44', 'Q9UQP9']",P11388,['TOP2A'],0.6135611979478398
AML,2,CHEMBL178,acceptable,CHEMBL1647793,920,CHEMBL1781,"['A8KA78', 'E1P5W3', 'O43256', 'P11387', 'Q12855', 'Q12856', 'Q15610', 'Q5TFY3', 'Q9UJN0']",P11387,['TOP1'],0.1968809849568607
AML,2,CHEMBL178,acceptable,CHEMBL2091136,916,CHEMBL1806,"['B2RTS1', 'P11388', 'Q71UN1', 'Q71UQ5', 'Q9HB24', 'Q9HB25', 'Q9HB26', 'Q9UP44', 'Q9UQP9']",P11388,['TOP2A'],0.6135611979478398
AML,2,CHEMBL3301622,specific,CHEMBL4424132,915,CHEMBL4895,"['P30530', 'Q8N5L2', 'Q9UD27']",P30530,['AXL'],0.5685155317475683
AML,2,CHEMBL3989908,specific,CHEMBL4309370,914,CHEMBL3991501,"['B2R6L6', 'B4DFL2', 'P48735', 'Q96GT3']",P48735,['IDH2'],0.7523053323792133
AML,2,CHEMBL3989908,specific,CHEMBL4708485,911,CHEMBL3991501,"['B2R6L6', 'B4DFL2', 'P48735', 'Q96GT3']",P48735,['IDH2'],0.7523053323792133
AML,2,CHEMBL4297610,specific,CHEMBL4325705,911,CHEMBL2007625,"['O75874', 'Q567U4', 'Q6FHQ6', 'Q7Z3V0', 'Q93090', 'Q9NTJ9', 'Q9UKW8']",O75874,['IDH1'],0.7506347909809313
AML,2,CHEMBL4297610,specific,CHEMBL4325706,911,CHEMBL2007625,"['O75874', 'Q567U4', 'Q6FHQ6', 'Q7Z3V0', 'Q93090', 'Q9NTJ9', 'Q9UKW8']",O75874,['IDH1'],0.7506347909809313
AML,2,CHEMBL3989908,specific,CHEMBL4309373,910,CHEMBL3991501,"['B2R6L6', 'B4DFL2', 'P48735', 'Q96GT3']",P48735,['IDH2'],0.7523053323792133
AML,2,CHEMBL3989908,specific,CHEMBL4708483,910,CHEMBL3991501,"['B2R6L6', 'B4DFL2', 'P48735', 'Q96GT3']",P48735,['IDH2'],0.7523053323792133
AML,2,CHEMBL3989908,specific,CHEMBL4708484,910,CHEMBL3991501,"['B2R6L6', 'B4DFL2', 'P48735', 'Q96GT3']",P48735,['IDH2'],0.7523053323792133
AML,2,CHEMBL576982,specific,CHEMBL5054519,909,CHEMBL1974,"['A0AVG9', 'B7ZLT7', 'B7ZLT8', 'F5H0A0', 'P36888', 'Q13414']",P36888,['FLT3'],0.821081847621124
AML,2,CHEMBL576982,specific,CHEMBL5054520,909,CHEMBL1974,"['A0AVG9', 'B7ZLT7', 'B7ZLT8', 'F5H0A0', 'P36888', 'Q13414']",P36888,['FLT3'],0.821081847621124
AML,2,CHEMBL576982,specific,CHEMBL5054522,909,CHEMBL1974,"['A0AVG9', 'B7ZLT7', 'B7ZLT8', 'F5H0A0', 'P36888', 'Q13414']",P36888,['FLT3'],0.821081847621124
AML,2,CHEMBL3301622,specific,CHEMBL4823577,908,CHEMBL4895,"['P30530', 'Q8N5L2', 'Q9UD27']",P30530,['AXL'],0.5685155317475683
AML,2,CHEMBL3301622,specific,CHEMBL4814855,907,CHEMBL1974,"['A0AVG9', 'B7ZLT7', 'B7ZLT8', 'F5H0A0', 'P36888', 'Q13414']",P36888,['FLT3'],0.821081847621124
AML,2,CHEMBL576982,specific,CHEMBL3420606,907,CHEMBL1974,"['A0AVG9', 'B7ZLT7', 'B7ZLT8', 'F5H0A0', 'P36888', 'Q13414']",P36888,['FLT3'],0.821081847621124
AML,2,CHEMBL384467,acceptable,CHEMBL679680,861,CHEMBL2093866,"['A8K8K5', 'G3V5M5', 'O60608', 'O60685', 'O60702', 'O60703', 'O75583', 'O75584', 'Q0MWT5', 'Q0MWT6', 'Q86Z31', 'Q92731', 'Q9UEV6', 'Q9UHD3', 'Q9UQK9']",Q92731,['ESR2'],0.0246051290922893
AML,2,CHEMBL178,acceptable,CHEMBL2025278,848,CHEMBL2111429,"['Q13547', 'Q92534']",Q13547,['HDAC1'],0.3282621292556385
AML,2,CHEMBL178,acceptable,CHEMBL1613933,847,CHEMBL2093862,"['A8MV94', 'B2RMS4', 'D3DSG1', 'O60472', 'O60473', 'O76047', 'O76089', 'Q01196', 'Q13081', 'Q13755', 'Q13756', 'Q13757', 'Q13758', 'Q13759', 'Q15341', 'Q15343', 'Q16122', 'Q16284', 'Q16285', 'Q16286', 'Q16346', 'Q16347', 'Q92479']",Q01196,['RUNX1'],0.7586952983379991
AML,2,CHEMBL803,acceptable,CHEMBL1613933,847,CHEMBL2093862,"['A8MV94', 'B2RMS4', 'D3DSG1', 'O60472', 'O60473', 'O76047', 'O76089', 'Q01196', 'Q13081', 'Q13755', 'Q13756', 'Q13757', 'Q13758', 'Q13759', 'Q15341', 'Q15343', 'Q16122', 'Q16284', 'Q16285', 'Q16286', 'Q16346', 'Q16347', 'Q92479']",Q01196,['RUNX1'],0.7586952983379991
AML,2,CHEMBL3137309,acceptable,CHEMBL4705671,846,CHEMBL4860,"['C9JHD5', 'P10415', 'P10416', 'Q13842', 'Q16197']",P10415,['BCL2'],0.6223598589937014
AML,2,CHEMBL3137309,acceptable,CHEMBL4705672,846,CHEMBL4860,"['C9JHD5', 'P10415', 'P10416', 'Q13842', 'Q16197']",P10415,['BCL2'],0.6223598589937014
AML,2,CHEMBL576982,specific,CHEMBL5133782,762,CHEMBL1974,"['A0AVG9', 'B7ZLT7', 'B7ZLT8', 'F5H0A0', 'P36888', 'Q13414']",P36888,['FLT3'],0.821081847621124
AML,2,CHEMBL3301622,specific,CHEMBL5107700,761,CHEMBL1974,"['A0AVG9', 'B7ZLT7', 'B7ZLT8', 'F5H0A0', 'P36888', 'Q13414']",P36888,['FLT3'],0.821081847621124
