parent_compound_chembl_id,assay_chembl_id,target_chembl_id
CHEMBL1489,CHEMBL1794345,CHEMBL364
CHEMBL1489,CHEMBL1794401,CHEMBL1741193
CHEMBL1489,CHEMBL1794512,CHEMBL612545
CHEMBL1489,CHEMBL1794524,CHEMBL3979
CHEMBL1489,CHEMBL1794542,CHEMBL206
CHEMBL1489,CHEMBL1794553,CHEMBL395
CHEMBL1489,CHEMBL1794560,CHEMBL1871
CHEMBL1489,CHEMBL1794584,CHEMBL1293258
CHEMBL1489,CHEMBL1909163,CHEMBL1909043
CHEMBL1489,CHEMBL1909164,CHEMBL1798
CHEMBL1489,CHEMBL1909165,CHEMBL4358
CHEMBL1489,CHEMBL1909166,CHEMBL4644
CHEMBL1489,CHEMBL1909167,CHEMBL259
CHEMBL1489,CHEMBL1909168,CHEMBL4608
CHEMBL1489,CHEMBL1909169,CHEMBL1951
CHEMBL1489,CHEMBL1909170,CHEMBL216
CHEMBL1489,CHEMBL1909171,CHEMBL211
CHEMBL1489,CHEMBL1909172,CHEMBL245
CHEMBL1489,CHEMBL1909173,CHEMBL1821
CHEMBL1489,CHEMBL1909174,CHEMBL2035
CHEMBL1489,CHEMBL1909175,CHEMBL4777
CHEMBL1489,CHEMBL1909176,CHEMBL4018
CHEMBL1489,CHEMBL1909177,CHEMBL612545
CHEMBL1489,CHEMBL1909178,CHEMBL3048
CHEMBL1489,CHEMBL1909179,CHEMBL3464
CHEMBL1489,CHEMBL1909180,CHEMBL236
CHEMBL1489,CHEMBL1909181,CHEMBL237
CHEMBL1489,CHEMBL1909182,CHEMBL233
CHEMBL1489,CHEMBL1909183,CHEMBL612545
CHEMBL1489,CHEMBL1909184,CHEMBL612545
CHEMBL1489,CHEMBL1909185,CHEMBL612545
CHEMBL1489,CHEMBL1909186,CHEMBL1827
CHEMBL1489,CHEMBL1909187,CHEMBL250
CHEMBL1489,CHEMBL1909188,CHEMBL612545
CHEMBL1489,CHEMBL1909189,CHEMBL612545
CHEMBL1489,CHEMBL1909190,CHEMBL240
CHEMBL1489,CHEMBL1909191,CHEMBL1909044
CHEMBL1489,CHEMBL1909192,CHEMBL4074
CHEMBL1489,CHEMBL1909193,CHEMBL4801
CHEMBL1489,CHEMBL1909194,CHEMBL4071
CHEMBL1489,CHEMBL1909195,CHEMBL248
CHEMBL1489,CHEMBL1909196,CHEMBL332
CHEMBL1489,CHEMBL1909197,CHEMBL321
CHEMBL1489,CHEMBL1909198,CHEMBL299
CHEMBL1489,CHEMBL1909199,CHEMBL3385
CHEMBL1489,CHEMBL1909200,CHEMBL4040
CHEMBL1489,CHEMBL1909201,CHEMBL260
CHEMBL1489,CHEMBL1909202,CHEMBL4445
CHEMBL1489,CHEMBL1909203,CHEMBL203
CHEMBL1489,CHEMBL1909204,CHEMBL1841
CHEMBL1489,CHEMBL1909205,CHEMBL1824
CHEMBL1489,CHEMBL1909206,CHEMBL258
CHEMBL1489,CHEMBL1909207,CHEMBL3243
CHEMBL1489,CHEMBL1909208,CHEMBL612545
CHEMBL1489,CHEMBL1909209,CHEMBL273
CHEMBL1489,CHEMBL1909210,CHEMBL3459
CHEMBL1489,CHEMBL1909211,CHEMBL224
CHEMBL1489,CHEMBL1909212,CHEMBL220
CHEMBL1489,CHEMBL1909213,CHEMBL226
CHEMBL1489,CHEMBL1909214,CHEMBL251
CHEMBL1489,CHEMBL1909215,CHEMBL256
CHEMBL1489,CHEMBL1909084,CHEMBL612545
CHEMBL1489,CHEMBL1909085,CHEMBL319
CHEMBL1489,CHEMBL1909086,CHEMBL315
CHEMBL1489,CHEMBL1909087,CHEMBL223
CHEMBL1489,CHEMBL1909088,CHEMBL1867
CHEMBL1489,CHEMBL1909089,CHEMBL1942
CHEMBL1489,CHEMBL1909090,CHEMBL1916
CHEMBL1489,CHEMBL1909091,CHEMBL213
CHEMBL1489,CHEMBL1909092,CHEMBL210
CHEMBL1489,CHEMBL1909093,CHEMBL246
CHEMBL1489,CHEMBL1909094,CHEMBL222
CHEMBL1489,CHEMBL1909095,CHEMBL2622
CHEMBL1489,CHEMBL1909096,CHEMBL4607
CHEMBL1489,CHEMBL1909097,CHEMBL612545
CHEMBL1489,CHEMBL1909098,CHEMBL612545
CHEMBL1489,CHEMBL1909099,CHEMBL612545
CHEMBL1489,CHEMBL1909100,CHEMBL3157
CHEMBL1489,CHEMBL1909101,CHEMBL1832
CHEMBL1489,CHEMBL1909102,CHEMBL612545
CHEMBL1489,CHEMBL1909103,CHEMBL612545
CHEMBL1489,CHEMBL1909104,CHEMBL1833
CHEMBL1489,CHEMBL1909105,CHEMBL225
CHEMBL1489,CHEMBL1909106,CHEMBL612545
CHEMBL1489,CHEMBL1909107,CHEMBL5017
CHEMBL1489,CHEMBL1909108,CHEMBL3371
CHEMBL1489,CHEMBL1909109,CHEMBL228
CHEMBL1489,CHEMBL1909110,CHEMBL287
CHEMBL1489,CHEMBL1909111,CHEMBL612545
CHEMBL1489,CHEMBL1909112,CHEMBL612545
CHEMBL1489,CHEMBL1909113,CHEMBL249
CHEMBL1489,CHEMBL1909114,CHEMBL2327
CHEMBL1489,CHEMBL1909115,CHEMBL3072
CHEMBL1489,CHEMBL1909116,CHEMBL1835
CHEMBL1489,CHEMBL1909117,CHEMBL612545
CHEMBL1489,CHEMBL1909118,CHEMBL1868
CHEMBL1489,CHEMBL1909119,CHEMBL5144
CHEMBL1489,CHEMBL1909120,CHEMBL1889
CHEMBL1489,CHEMBL1909121,CHEMBL612545
CHEMBL1489,CHEMBL1909122,CHEMBL218
CHEMBL1489,CHEMBL1909123,CHEMBL205
CHEMBL1489,CHEMBL1909124,CHEMBL4015
CHEMBL1489,CHEMBL1909125,CHEMBL2414
CHEMBL1489,CHEMBL1909126,CHEMBL274
CHEMBL1489,CHEMBL1909127,CHEMBL4029
CHEMBL1489,CHEMBL1909128,CHEMBL2434
CHEMBL1489,CHEMBL1909129,CHEMBL1901
CHEMBL1489,CHEMBL1909130,CHEMBL221
CHEMBL1489,CHEMBL1909131,CHEMBL230
CHEMBL1489,CHEMBL1909132,CHEMBL3356
CHEMBL1489,CHEMBL1909133,CHEMBL5282
CHEMBL1489,CHEMBL1909134,CHEMBL3622
CHEMBL1489,CHEMBL1909135,CHEMBL3397
CHEMBL1489,CHEMBL1909136,CHEMBL289
CHEMBL1489,CHEMBL1909137,CHEMBL5281
CHEMBL1489,CHEMBL1909138,CHEMBL340
CHEMBL1489,CHEMBL1909139,CHEMBL2056
CHEMBL1489,CHEMBL1909140,CHEMBL217
CHEMBL1489,CHEMBL1909141,CHEMBL234
CHEMBL1489,CHEMBL1909142,CHEMBL219
CHEMBL1489,CHEMBL1909143,CHEMBL238
CHEMBL1489,CHEMBL1909144,CHEMBL252
CHEMBL1489,CHEMBL1909145,CHEMBL206
CHEMBL1489,CHEMBL1909146,CHEMBL242
CHEMBL1489,CHEMBL1909147,CHEMBL612545
CHEMBL1489,CHEMBL1909148,CHEMBL612545
CHEMBL1489,CHEMBL1909149,CHEMBL612545
CHEMBL1489,CHEMBL1909150,CHEMBL2034
CHEMBL1489,CHEMBL1909151,CHEMBL612545
CHEMBL1489,CHEMBL1909152,CHEMBL612545
CHEMBL1489,CHEMBL1909153,CHEMBL612545
CHEMBL1489,CHEMBL1909154,CHEMBL612545
CHEMBL1489,CHEMBL1909155,CHEMBL3392921
CHEMBL1489,CHEMBL1909156,CHEMBL231
CHEMBL1489,CHEMBL1909157,CHEMBL1941
CHEMBL1489,CHEMBL1909158,CHEMBL402
CHEMBL1489,CHEMBL1909159,CHEMBL612545
CHEMBL1489,CHEMBL1909160,CHEMBL5486
CHEMBL1489,CHEMBL1909161,CHEMBL612545
CHEMBL1489,CHEMBL1909162,CHEMBL612545
CHEMBL1489,CHEMBL1909323,CHEMBL1697861
CHEMBL1489,CHEMBL1964081,CHEMBL2007624
CHEMBL1489,CHEMBL2114843,CHEMBL1293278
CHEMBL1489,CHEMBL2114861,CHEMBL612545
CHEMBL1489,CHEMBL2114872,CHEMBL1741209
CHEMBL1489,CHEMBL2114877,CHEMBL1741209
CHEMBL1489,CHEMBL2114890,CHEMBL1075094
CHEMBL1489,CHEMBL2114895,CHEMBL4096
CHEMBL1489,CHEMBL2114730,CHEMBL612545
CHEMBL1489,CHEMBL2114770,CHEMBL612545
CHEMBL1489,CHEMBL2114775,CHEMBL612545
CHEMBL1489,CHEMBL2114777,CHEMBL612545
CHEMBL1489,CHEMBL2114779,CHEMBL3879801
CHEMBL1489,CHEMBL2114780,CHEMBL1293278
CHEMBL1489,CHEMBL2114784,CHEMBL1795085
CHEMBL1489,CHEMBL2114788,CHEMBL1784
CHEMBL1489,CHEMBL2114797,CHEMBL2146315
CHEMBL1489,CHEMBL2114803,CHEMBL612545
CHEMBL1489,CHEMBL2114835,CHEMBL2157
CHEMBL1489,CHEMBL2114842,CHEMBL1741186
CHEMBL1489,CHEMBL2114909,CHEMBL1741209
CHEMBL1489,CHEMBL2114929,CHEMBL1741209
CHEMBL1489,CHEMBL2320305,CHEMBL1743126
CHEMBL1489,CHEMBL2320306,CHEMBL1743126
CHEMBL1489,CHEMBL2354211,CHEMBL612545
CHEMBL1489,CHEMBL2354221,CHEMBL1075138
CHEMBL1489,CHEMBL2354254,CHEMBL1075138
CHEMBL1489,CHEMBL2354311,CHEMBL2007625
CHEMBL1489,CHEMBL3039488,CHEMBL1697668
CHEMBL1489,CHEMBL3039491,CHEMBL1743121
CHEMBL1489,CHEMBL3088861,CHEMBL378
CHEMBL1489,CHEMBL3134963,CHEMBL612545
CHEMBL1489,CHEMBL3137722,CHEMBL3879801
CHEMBL1489,CHEMBL3137723,CHEMBL3879801
CHEMBL1489,CHEMBL3137724,CHEMBL612545
CHEMBL1489,CHEMBL3137725,CHEMBL3879801
CHEMBL1489,CHEMBL3137726,CHEMBL612545
CHEMBL1489,CHEMBL3137727,CHEMBL612545
CHEMBL1489,CHEMBL3137728,CHEMBL612545
CHEMBL1489,CHEMBL3137729,CHEMBL612545
CHEMBL1489,CHEMBL3137730,CHEMBL612545
CHEMBL1489,CHEMBL3137731,CHEMBL3879801
CHEMBL1489,CHEMBL3137732,CHEMBL612545
CHEMBL1489,CHEMBL3137733,CHEMBL612545
CHEMBL1489,CHEMBL3137734,CHEMBL612545
CHEMBL1489,CHEMBL3137735,CHEMBL3879801
CHEMBL1489,CHEMBL3137736,CHEMBL3879801
CHEMBL1489,CHEMBL3137737,CHEMBL612545
CHEMBL1489,CHEMBL3137738,CHEMBL612545
CHEMBL1489,CHEMBL3137739,CHEMBL3879801
CHEMBL1489,CHEMBL3137740,CHEMBL3879801
CHEMBL1489,CHEMBL3214929,CHEMBL612545
CHEMBL1489,CHEMBL3214990,CHEMBL3879801
CHEMBL1489,CHEMBL3215017,CHEMBL612545
CHEMBL1489,CHEMBL3215086,CHEMBL3879801
CHEMBL1489,CHEMBL3215169,CHEMBL612545
CHEMBL1489,CHEMBL3215185,CHEMBL2193
CHEMBL1489,CHEMBL3215270,CHEMBL612545
CHEMBL1489,CHEMBL3215292,CHEMBL612546
CHEMBL1489,CHEMBL3214791,CHEMBL612545
CHEMBL1489,CHEMBL3214892,CHEMBL3879801
CHEMBL1489,CHEMBL3214913,CHEMBL612545
CHEMBL1489,CHEMBL3253664,CHEMBL612558
CHEMBL1489,CHEMBL3257345,CHEMBL612558
CHEMBL1489,CHEMBL3257346,CHEMBL612558
CHEMBL1489,CHEMBL3257347,CHEMBL612558
CHEMBL1489,CHEMBL3256550,CHEMBL386
CHEMBL1489,CHEMBL3256552,CHEMBL386
CHEMBL1489,CHEMBL3256553,CHEMBL386
CHEMBL1489,CHEMBL3256554,CHEMBL386
CHEMBL1489,CHEMBL3257008,CHEMBL375
CHEMBL1489,CHEMBL3257010,CHEMBL375
CHEMBL1489,CHEMBL3257012,CHEMBL375
CHEMBL1489,CHEMBL3257013,CHEMBL375
CHEMBL1489,CHEMBL3257014,CHEMBL375
CHEMBL1489,CHEMBL3257015,CHEMBL2362975
CHEMBL1489,CHEMBL3255782,CHEMBL386
CHEMBL1489,CHEMBL3255783,CHEMBL386
CHEMBL1489,CHEMBL3255784,CHEMBL386
CHEMBL1489,CHEMBL3255785,CHEMBL386
CHEMBL1489,CHEMBL3255786,CHEMBL386
CHEMBL1489,CHEMBL3255788,CHEMBL375
CHEMBL1489,CHEMBL3255789,CHEMBL375
CHEMBL1489,CHEMBL3255790,CHEMBL375
CHEMBL1489,CHEMBL3255791,CHEMBL375
CHEMBL1489,CHEMBL3255792,CHEMBL375
CHEMBL1489,CHEMBL3255793,CHEMBL375
CHEMBL1489,CHEMBL3255794,CHEMBL375
CHEMBL1489,CHEMBL3255795,CHEMBL375
CHEMBL1489,CHEMBL3255796,CHEMBL375
CHEMBL1489,CHEMBL3255797,CHEMBL375
CHEMBL1489,CHEMBL3256218,CHEMBL375
CHEMBL1489,CHEMBL3256220,CHEMBL376
CHEMBL1489,CHEMBL3285515,CHEMBL386
CHEMBL1489,CHEMBL3285516,CHEMBL2362975
CHEMBL1489,CHEMBL3285518,CHEMBL381
CHEMBL1489,CHEMBL3285519,CHEMBL389
CHEMBL1489,CHEMBL3285520,CHEMBL386
CHEMBL1489,CHEMBL3285521,CHEMBL386
CHEMBL1489,CHEMBL3285523,CHEMBL386
CHEMBL1489,CHEMBL3285524,CHEMBL386
CHEMBL1489,CHEMBL3285525,CHEMBL386
CHEMBL1489,CHEMBL3285526,CHEMBL2362975
CHEMBL1489,CHEMBL3285527,CHEMBL386
CHEMBL1489,CHEMBL3285528,CHEMBL386
CHEMBL1489,CHEMBL3284159,CHEMBL386
CHEMBL1489,CHEMBL3284160,CHEMBL386
CHEMBL1489,CHEMBL3284161,CHEMBL386
CHEMBL1489,CHEMBL3284162,CHEMBL386
CHEMBL1489,CHEMBL3284163,CHEMBL386
CHEMBL1489,CHEMBL3284164,CHEMBL389
CHEMBL1489,CHEMBL3284165,CHEMBL381
CHEMBL1489,CHEMBL3284166,CHEMBL386
CHEMBL1489,CHEMBL3284167,CHEMBL386
CHEMBL1489,CHEMBL3284436,CHEMBL386
CHEMBL1489,CHEMBL3284437,CHEMBL386
CHEMBL1489,CHEMBL3284438,CHEMBL386
CHEMBL1489,CHEMBL3284439,CHEMBL386
CHEMBL1489,CHEMBL3284440,CHEMBL389
CHEMBL1489,CHEMBL3284441,CHEMBL381
CHEMBL1489,CHEMBL3284442,CHEMBL375
CHEMBL1489,CHEMBL3284443,CHEMBL375
CHEMBL1489,CHEMBL3284444,CHEMBL375
CHEMBL1489,CHEMBL3284445,CHEMBL375
CHEMBL1489,CHEMBL3284447,CHEMBL375
CHEMBL1489,CHEMBL3284448,CHEMBL375
CHEMBL1489,CHEMBL3284449,CHEMBL375
CHEMBL1489,CHEMBL3284450,CHEMBL375
CHEMBL1489,CHEMBL3284451,CHEMBL386
CHEMBL1489,CHEMBL3284452,CHEMBL386
CHEMBL1489,CHEMBL3284453,CHEMBL386
CHEMBL1489,CHEMBL3284454,CHEMBL386
CHEMBL1489,CHEMBL3284455,CHEMBL386
CHEMBL1489,CHEMBL3284456,CHEMBL386
CHEMBL1489,CHEMBL3284457,CHEMBL389
CHEMBL1489,CHEMBL3284458,CHEMBL2362975
CHEMBL1489,CHEMBL3284464,CHEMBL612558
CHEMBL1489,CHEMBL3284718,CHEMBL612558
CHEMBL1489,CHEMBL3284719,CHEMBL386
CHEMBL1489,CHEMBL3284720,CHEMBL386
CHEMBL1489,CHEMBL3284721,CHEMBL386
CHEMBL1489,CHEMBL3418016,CHEMBL372
CHEMBL1489,CHEMBL3561973,CHEMBL612545
CHEMBL1489,CHEMBL3561990,CHEMBL612545
CHEMBL1489,CHEMBL3561996,CHEMBL612545
CHEMBL1489,CHEMBL3562002,CHEMBL612545
CHEMBL1489,CHEMBL3562018,CHEMBL612545
CHEMBL1489,CHEMBL3562021,CHEMBL612545
CHEMBL1489,CHEMBL3562024,CHEMBL612545
CHEMBL1489,CHEMBL3562027,CHEMBL612545
CHEMBL1489,CHEMBL3562034,CHEMBL612545
CHEMBL1489,CHEMBL3562036,CHEMBL612545
CHEMBL1489,CHEMBL3562038,CHEMBL612545
CHEMBL1489,CHEMBL3562043,CHEMBL612545
CHEMBL1489,CHEMBL3562064,CHEMBL612545
CHEMBL1489,CHEMBL3562067,CHEMBL612545
CHEMBL1489,CHEMBL3562069,CHEMBL612545
CHEMBL1489,CHEMBL3562085,CHEMBL612545
CHEMBL1489,CHEMBL3562088,CHEMBL612545
CHEMBL1489,CHEMBL3562112,CHEMBL612545
CHEMBL1489,CHEMBL3562119,CHEMBL612545
CHEMBL1489,CHEMBL3562123,CHEMBL612545
CHEMBL1489,CHEMBL3562124,CHEMBL612545
CHEMBL1489,CHEMBL3562133,CHEMBL612545
CHEMBL1489,CHEMBL3562135,CHEMBL612545
CHEMBL1489,CHEMBL3562136,CHEMBL612545
CHEMBL1489,CHEMBL3562146,CHEMBL612545
CHEMBL1489,CHEMBL3562152,CHEMBL612545
CHEMBL1489,CHEMBL3784457,CHEMBL2424510
CHEMBL1489,CHEMBL3784458,CHEMBL2424510
CHEMBL1489,CHEMBL3784461,CHEMBL2424510
CHEMBL1489,CHEMBL3802124,CHEMBL612545
CHEMBL1489,CHEMBL3802548,CHEMBL378
CHEMBL1489,CHEMBL3802549,CHEMBL378
CHEMBL1489,CHEMBL3804213,CHEMBL378
CHEMBL1489,CHEMBL3801911,CHEMBL378
CHEMBL1489,CHEMBL3801912,CHEMBL378
CHEMBL1489,CHEMBL3802568,CHEMBL378
CHEMBL1489,CHEMBL3802571,CHEMBL378
CHEMBL1489,CHEMBL3802576,CHEMBL378
CHEMBL1489,CHEMBL3802577,CHEMBL378
