symbol,overall_score,uniprot_id,chembl_score,uniprot_variants_score,cancer_gene_census_score,intogen_score,eva_somatic_score,eva_score,uniprot_literature_score,gene_burden_score,slapenrich_score,cancer_biomarkers_score,europepmc_score,genomics_england_score,gene2phenotype_score,clingen_score,orphanet_score,impc_score,crispr_score,expression_atlas_score,reactome_score,ot_genetics_portal_score
IDH1,0.7506347909809313,['O75874'],0.7789729299950914,,0.6395938599872263,0.8554352404518684,0.8321238893573638,0.5592963338026914,,,0.7651605609096501,0.8274613634158176,0.9829514252720489,,,,,,,,,
KIT,0.7412150034664634,['P10721'],0.8583943029535076,,0.6490927786999079,0.7413750537183725,0.7883342618028697,0.3057618769433922,,,0.9357685933772968,0.8274613634158176,0.9699857707380115,,,,,0.5435465569087314,,,,
CSF3R,0.7362928086405053,['Q99062'],0.9152401277839728,,0.7725787219647684,0.510072467688086,0.42555155832813474,,,,0.788677134253267,,0.6688294612418008,,,,,,,,,
ASXL1,0.7356672690957878,['Q8IXJ9'],,,0.874196043482211,0.7525215495573013,,,,0.8919217364795516,,,0.916944924210597,,,,,0.5713414694829662,,,,
JAK2,0.7187458973901665,['O60674'],0.18126327926552357,0.7599134970145264,0.8277568853313232,0.607930797611621,0.6839221473130737,0.6100416684366613,,,0.9154417988935604,0.7599134970145264,0.6480222056456545,,,,,0.6049983898245326,,,,
NPM1,0.7108446045520762,['P06748'],0.12158615952232422,,0.8132340940550455,,0.8670846906963162,0.015198269940290528,,,0.9595762964043545,0.7599134970145264,0.9930708700964354,0.3039653988058105,,,,0.476938597692917,,,,
PTPN11,0.6984694421674132,['Q06124'],,,0.7725787219647684,0.8421605875219155,0.6179785427388131,,,,0.9697916292369135,,0.77191854508687,,,,,,0.25913050248195346,,,
RARA,0.6900427275215554,['P10276'],0.9618046244276774,,0.607930797611621,,,,,,,,0.9576254635978522,,,,,,,,,
SETD2,0.6890395385169136,['Q9BYW2'],,0.865457038266544,0.5319394479101685,,,,0.7599134970145264,,0.3884836023478659,,0.8422264695317032,,,,,,,,,
NSD1,0.686828593729712,['Q96L73'],,,0.3588480402568597,0.18067501416639908,,0.8261425257875297,,,,,0.8280026360084601,0.865457038266544,,,,,,,,
U2AF1,0.6759546798818679,['Q01081'],,,0.8464592008411808,0.7599134970145264,0.6058199267865807,,,,,,0.6514576621488267,,,,,,,,,
POLE,0.675654921919343,['Q07864'],0.9897095077894698,,0.4559480982087158,,,,,,,,,,,,,0.3467029338779075,,,,
POLD1,0.6713817575106218,['P28340'],0.9897095077894698,,0.4559480982087158,,,,,,,,0.030396539880581056,,,,,,,,,
SETBP1,0.6684214162985481,['Q9Y6X0'],,0.8274613634158176,0.6517524759394587,,,,0.7599134970145264,,,,0.7716636047352662,,,,,,,,,
POLA2,0.6606567478826615,['Q14181'],0.9897095077894698,,,,,,,,0.7621154578800872,,0.07903100368951074,,,,,,,,,
PDGFRB,0.6591249431432462,['P09619'],0.8626421425104074,,0.5699351227608948,,,,0.3799567485072632,,0.908005658676501,,0.27262860165048786,,,,,0.42223749113282144,,,,
TERT,0.6562716939240508,['O14746'],,,0.4559480982087158,,,0.7652136047923631,,,,,0.8073151475897131,0.8274613634158176,,,,,,,,
ETV6,0.6538800718891722,['P41212'],,,0.6490927786999079,,0.6839221473130737,0,0.7599134970145264,,,,0.520530750110518,0.7599134970145264,,,,0.7799637470853883,,,,
DNMT1,0.6471545533203773,['P26358'],0.9406751496236514,,,,,,,,0.8274613634158176,,0.9185525868978767,,,,,,,,,
WT1,0.6451126853889143,['P19544'],0.4559480982087158,,0.8037351753423639,0.6677916242715329,0.42555155832813474,0.19453785523571876,,,,,0.9770748923440077,,,,,,,,,
PRIM1,0.6431499733216475,['P49642'],0.9897095077894698,,,,,,,,,,,,,,,,0.272893447809083,,,
PDGFRA,0.6357487492748144,['P16234'],0.8537167939674049,,0.5319394479101685,,,,,,0.908005658676501,,0.6889602737832412,,,,,,,,,
GATA1,0.6331177401368284,['P15976'],,,0.6839221473130737,,0.8452944137041243,,,,,,0.7880082476834255,,,,,0.6115490404750958,,,,
SMO,0.6251763507293626,['Q99835'],0.912016425494121,,0.4559480982087158,,,,,,,,0.1063878895820337,,,,,,,,,
SF3B1,0.6248493850352566,['O75533'],,,0.6395938599872263,0.48510278977801324,0.7900824633076198,,,,0.607930797611621,,0.24203872233522594,,,,,0.4507570446757766,,,,
EZH2,0.622506379562384,['Q15910'],0.06079307976116211,,0.8010754781028131,0.5896028152985996,,,,0.33600473694546146,0.8138245466740056,,0.9497595097560535,,,,,,,,,
BCL2,0.6223598589937014,['P10415'],0.8626533382448229,,0.4559480982087158,,,,,,,,0.9607029399739868,,,,,0.44540007669598913,0.2837012415290223,,,
TOP2A,0.6135611979478398,['P11388'],0.9930634020162811,,,,,,,,,,0.323963580060743,,,,,,,,,
DDX41,0.6102055629297896,['Q9UJV9'],,,,,,0.8004928777551021,,0.70157313422026,0.3314162096111645,,0.7554914610535307,,,,,,,,,
RARG,0.6050768680468014,['P13631'],0.9615227967854626,,,,,,,,,,0.6756541157626604,,,,,,,,,
POLD2,0.6035227897476807,['P49005'],0.9897095077894698,,,,,,,,,,0.06079307976116211,,,,,,,,,
POLE2,0.6024957276470719,['P56282'],0.9897095077894698,,,,,,,,,,,,,,,,,0.02700429641134989,,
PRIM2,0.6022292602562843,['P49643'],0.9897095077894698,,,,,,,,,,0.01823792392834863,,,,,,,,,
POLD4,0.6016748904742573,['Q9HCU8'],0.9897095077894698,,,,,,,,,,,,,,,,,,,
