uniprot_id,symbol,overall_score,chembl_score,uniprot_variants_score,cancer_gene_census_score,intogen_score,eva_somatic_score,eva_score,uniprot_literature_score,gene_burden_score,slapenrich_score,cancer_biomarkers_score,europepmc_score,genomics_england_score,gene2phenotype_score,clingen_score,orphanet_score,impc_score,crispr_score,expression_atlas_score,reactome_score,ot_genetics_portal_score
P06748,['NPM1'],0.7108446045520762,0.1215861595223242,,0.8132340940550455,,0.8670846906963162,0.0151982699402905,,,0.9595762964043544,0.7599134970145264,0.9930708700964354,0.3039653988058105,,,,0.476938597692917,,,,
Q06124,['PTPN11'],0.6984694421674132,,,0.7725787219647684,0.8421605875219155,0.6179785427388131,,,,0.9697916292369136,,0.77191854508687,,,,,,0.2591305024819534,,,
P10276,['RARA'],0.6900427275215554,0.9618046244276774,,0.607930797611621,,,,,,,,0.9576254635978522,,,,,,,,,
Q9BYW2,['SETD2'],0.6890395385169136,,0.865457038266544,0.5319394479101685,,,,0.7599134970145264,,0.3884836023478659,,0.8422264695317032,,,,,,,,,
Q96L73,['NSD1'],0.686828593729712,,,0.3588480402568597,0.180675014166399,,0.8261425257875297,,,,,0.8280026360084601,0.865457038266544,,,,,,,,
Q01081,['U2AF1'],0.6759546798818679,,,0.8464592008411808,0.7599134970145264,0.6058199267865807,,,,,,0.6514576621488267,,,,,,,,,
Q07864,['POLE'],0.675654921919343,0.9897095077894698,,0.4559480982087158,,,,,,,,,,,,,0.3467029338779075,,,,
P28340,['POLD1'],0.6713817575106218,0.9897095077894698,,0.4559480982087158,,,,,,,,0.030396539880581,,,,,,,,,
Q9Y6X0,['SETBP1'],0.6684214162985481,,0.8274613634158176,0.6517524759394587,,,,0.7599134970145264,,,,0.7716636047352662,,,,,,,,,
Q14181,['POLA2'],0.6606567478826615,0.9897095077894698,,,,,,,,0.7621154578800872,,0.0790310036895107,,,,,,,,,
P09619,['PDGFRB'],0.6591249431432462,0.8626421425104074,,0.5699351227608948,,,,0.3799567485072632,,0.908005658676501,,0.2726286016504878,,,,,0.4222374911328214,,,,
O14746,['TERT'],0.6562716939240508,,,0.4559480982087158,,,0.7652136047923631,,,,,0.8073151475897131,0.8274613634158176,,,,,,,,
P41212,['ETV6'],0.6538800718891722,,,0.6490927786999079,,0.6839221473130737,0.0,0.7599134970145264,,,,0.520530750110518,0.7599134970145264,,,,0.7799637470853883,,,,
P26358,['DNMT1'],0.6471545533203773,0.9406751496236514,,,,,,,,0.8274613634158176,,0.9185525868978768,,,,,,,,,
P19544,['WT1'],0.6451126853889143,0.4559480982087158,,0.8037351753423639,0.6677916242715329,0.4255515583281347,0.1945378552357187,,,,,0.9770748923440076,,,,,,,,,
P49642,['PRIM1'],0.6431499733216475,0.9897095077894698,,,,,,,,,,,,,,,,0.272893447809083,,,
P16234,['PDGFRA'],0.6357487492748144,0.8537167939674049,,0.5319394479101685,,,,,,0.908005658676501,,0.6889602737832412,,,,,,,,,
P15976,['GATA1'],0.6331177401368284,,,0.6839221473130737,,0.8452944137041243,,,,,,0.7880082476834255,,,,,0.6115490404750958,,,,
Q99835,['SMO'],0.6251763507293626,0.912016425494121,,0.4559480982087158,,,,,,,,0.1063878895820337,,,,,,,,,
O75533,['SF3B1'],0.6248493850352566,,,0.6395938599872263,0.4851027897780132,0.7900824633076198,,,,0.607930797611621,,0.2420387223352259,,,,,0.4507570446757766,,,,
Q15910,['EZH2'],0.622506379562384,0.0607930797611621,,0.8010754781028131,0.5896028152985996,,,,0.3360047369454614,0.8138245466740056,,0.9497595097560536,,,,,,,,,
P10415,['BCL2'],0.6223598589937014,0.8626533382448229,,0.4559480982087158,,,,,,,,0.9607029399739868,,,,,0.4454000766959891,0.2837012415290223,,,
P11388,['TOP2A'],0.6135611979478398,0.9930634020162812,,,,,,,,,,0.323963580060743,,,,,,,,,
Q9UJV9,['DDX41'],0.6102055629297896,,,,,,0.8004928777551021,,0.70157313422026,0.3314162096111645,,0.7554914610535307,,,,,,,,,
P13631,['RARG'],0.6050768680468014,0.9615227967854626,,,,,,,,,,0.6756541157626604,,,,,,,,,
P49005,['POLD2'],0.6035227897476807,0.9897095077894698,,,,,,,,,,0.0607930797611621,,,,,,,,,
P56282,['POLE2'],0.6024957276470719,0.9897095077894698,,,,,,,,,,,,,,,,,0.0270042964113498,,
P49643,['PRIM2'],0.6022292602562843,0.9897095077894698,,,,,,,,,,0.0182379239283486,,,,,,,,,
Q15054,['POLD3'],0.6016748904742573,0.9897095077894698,,,,,,,,,,,,,,,,,,,
Q9HCU8,['POLD4'],0.6016748904742573,0.9897095077894698,,,,,,,,,,,,,,,,,,,
P09884,['POLA1'],0.6016748904742573,0.9897095077894698,,,,,,,,,,,,,,,,,,,
Q9NRF9,['POLE3'],0.6016748904742573,0.9897095077894698,,,,,,,,,,,,,,,,,,,
P22681,['CBL'],0.6010069173694226,,,0.8132340940550455,0.4292618567339706,,,,,0.9325660466483698,,0.5950752007860066,,,,,0.4589613747549442,,,,
P10826,['RARB'],0.5961223845640616,0.9617445583900892,,,,,,,,,,0.3766299759221019,,,,,,,,,
O60216,['RAD21'],0.5884408140825689,,,0.7556917553644457,0.5679309584693065,0.4377101742803672,,,,0.658169184136247,,0.1329639043314877,,,,,,,,,
P23921,['RRM1'],0.5882707922921177,0.9581485279810288,,,,,,,,,,0.1902451222714555,,,,,,,,,
Q9BXW9,['FANCD2'],0.5873232732115736,,,0.4559480982087158,,0.547137717850459,,,,,,0.1077388469100595,0.7599134970145264,,,,0.2515617640516888,0.2581170818423349,,,
P35968,['KDR'],0.5830294541889404,0.8397343971875008,,0.4559480982087158,,,,,,,,0.2392991624814537,,,,,,,,,
P20138,['CD33'],0.5797546758934528,0.8991767539135453,,,,,,,,,,0.9650360990034068,,,,,0.2800737184596738,,,,
P00519,['ABL1'],0.5718997891232702,0.6280538560578216,,0.7556917553644457,,,,,,0.3314162096111645,,0.7691596767144839,,,,,,,,,
Q16881,['TXNRD1'],0.5710593837554495,0.9285790699742312,,,,,,,,,,0.2154050798637376,,,,,,,,,
Q02880,['TOP2B'],0.571001636059949,0.9206302049078624,,,,,,,,,,0.3724825697083801,,,,,,,,,
P30530,['AXL'],0.5685155317475683,0.8897482465553158,,,,,,,,,,0.9083326804342208,,,,,,,,,
Q00597,['FANCC'],0.5608405081481284,,,0.4559480982087158,,,,,,0.7944842304131225,,0.3601212141489325,0.7599134970145264,,,,,,,,
Q9Y3A5,['SBDS'],0.55178965776176,,,0.4559480982087158,,,,,,,,0.158634132829423,0.7599134970145264,,,,,0.2859177572171143,,,
Q15139,['PRKD1'],0.550449036069728,0.8227203195717089,,0.3039653988058105,,,,,,,,0.0364758478566972,,,,,0.2825662347298814,,,,
P05771,['PRKCB'],0.5486230560083364,0.8227203195717089,,0.3039653988058105,,,,,,,,0.1679219644596006,,,,,,,,,
Q9NVI1,['FANCI'],0.5404992246493391,,,,,,,,,0.7944842304131225,,0.0243172319044648,0.7599134970145264,,,,,0.2659697239550842,,,
P05129,['PRKCG'],0.5378545560961542,0.8227203195717089,,,,,,,,0.4633084534106921,,0.1843212404425234,,,,,,,,,
P54132,['BLM'],0.5370126675824959,,,0.4559480982087158,,,,,,,,0.1429100215124947,0.7599134970145264,,,,0.3446173935027677,,,,
P00374,['DHFR'],0.5355717658380542,0.8641354554680868,,,,,,,,,,0.117076159352444,,,,,0.2847547856012833,,,,
O15287,['FANCG'],0.5354448738318913,,,0.4559480982087158,,,,,,,,0.3089537053499544,0.7599134970145264,,,,,,,,
O15360,['FANCA'],0.5338724410353863,,,0.4559480982087158,,,,,,,,0.1925597405751473,0.7599134970145264,,,,,,,,
Q92889,['ERCC4'],0.5332489777389603,,,0.4559480982087158,,,,,,,,0.1464100004247987,0.7599134970145264,,,,,,,,
Q86YC2,['PALB2'],0.5323749060442549,,,0.4559480982087158,,,,,,,,0.0817098299180983,0.7599134970145264,,,,,,,,
Q9HB96,['FANCE'],0.5312710411092588,,,0.4559480982087158,,,,,,,,,0.7599134970145264,,,,,,,,
P17252,['PRKCA'],0.5223008775441709,0.8227203195717089,,,,,,,,,,0.7284992812553914,,,,,,,,,
Q6W2J9,['BCOR'],0.5207132531462544,,,0.6395938599872263,0.607930797611621,,0.547137717850459,,,,,0.3331298321485662,,,,,,,,,
Q02156,['PRKCE'],0.5194915100478581,0.8227203195717089,,,,,,,,,,0.6360753571064578,,,,,,,,,
Q8IWS0,['PHF6'],0.5170946992346355,,,0.6037090559615403,0.6743181329506427,,,,,,,0.8453864797117284,,,,,0.5239801983772713,,,,
P24723,['PRKCH'],0.5148626994640989,0.8227203195717089,,,,,,,,,,0.1963954215617542,,,,,0.3965076644722395,,,,
P52333,['JAK3'],0.5148491064514686,,,0.5319394479101685,,0.643347591420098,,,,0.8411828868301956,0.607930797611621,0.2126873478551463,,,,,0.4554270276777628,,,,
Q05655,['PRKCD'],0.5140700567728906,0.8227203195717089,,,,,,,,,,0.4484789942957623,,,,,,,0.0207872626939478,,
Q8N3U4,['STAG2'],0.5140088438209042,,,0.6490927786999079,0.607930797611621,,,,,0.658169184136247,,0.6292068017996917,,,,,,,,,
Q06455,['RUNX1T1'],0.5104687477220479,,,0.7915765593901316,,,,,,,,0.962115382745444,,,,,,,,,
Q9NPD8,['UBE2T'],0.5061665595217698,,,,,,,,,,,0.0182379239283486,0.7599134970145264,,,,,0.2891470856140272,,,
Q8IY92,['SLX4'],0.5030392466541774,,,,,,,,,,,,0.8274613634158176,,,,,,,,
Q04759,['PRKCQ'],0.5012657596525708,0.8227203195717089,,,,,,,,,,0.0364758478566972,,,,,,,,,
Q05513,['PRKCZ'],0.5012606265990336,0.8227203195717089,,,,,,,,,,0.036306978190694,,,,,,,,,
O94806,['PRKD3'],0.5005265999432015,0.8227203195717089,,,,,,,,,,0.0121586159522324,,,,,,,,,
P41743,['PRKCI'],0.5001570200885168,0.8227203195717089,,,,,,,,,,,,,,,,,,,
P21359,['NF1'],0.4989853762980415,,,0.6395938599872263,0.4436772483611772,,0.1945378552357187,,,0.8798078610561384,,0.7912272544632623,,,,,0.5243821081823591,,,,
P40238,['MPL'],0.4975878562277508,0.1705077017634593,,0.7556917553644457,,,,,,,,0.5976935678671393,,,,,0.551478401126629,,,,
P01112,['HRAS'],0.4973217887257967,,,0.4559480982087158,,0.6684963037852956,,,,,0.607930797611621,0.1439454183860694,,,,,,,,,
Q03164,['KMT2A'],0.4810886110339195,0.0919067987742997,,0.6490927786999079,,,,,,,0.865457038266544,0.9928327318738988,,,,,0.6672083655156685,,,,
Q969P6,['TOP1MT'],0.4773123823252923,0.7851426251154086,,,,,,,,,,,,,,,,,,,
Q13422,['IKZF1'],0.4772910328453006,,,0.6037090559615403,0.607930797611621,,,,,,,0.845731587469078,,,,,0.5964327970286089,,,,
Q96SW2,['CRBN'],0.4753605968515256,0.7559745935990463,,,,,,,,,,0.3173032147838204,,,,,0.3781262013277882,,,,
P21860,['ERBB3'],0.4734725544026318,0.1215861595223242,0.607930797611621,0.4559480982087158,,,0.4377101742803672,,,,,0.0843723512251928,,,,,,,,,
P62877,['RBX1'],0.4694087411824144,0.7559745935990463,,,,,,,,,,0.317643841752072,,,,,,,0.0128227453520239,,
Q8NB91,['FANCB'],0.4686023853540708,,,,,,,,,,,0.2180368892061807,0.7599134970145264,,,,,,,,
P15056,['BRAF'],0.4677649176774668,0.5747726503748405,,0.6227068933869035,,,,,,,,0.1366971640976986,,,,,,,,,
P52948,['NUP98'],0.466578367009121,,,0.7219178221638001,,,,,,,,0.9113632564716772,,,,,,,,,
Q13619,['CUL4A'],0.4664174649724563,0.7559745935990463,,,,,,,,,,0.2249343951162997,,,,,,,,,
P07949,['RET'],0.4645679216730559,0.6416894533966495,,0.4559480982087158,,,,,,,,0.3826114704035477,,,,,,,,,
Q9NPI8,['FANCF'],0.4639151125929719,,,,,,,,,,,0.0638327337492202,0.7599134970145264,,,,,,,,
O43543,['XRCC2'],0.4627139780652466,,,,,,,,,,,0.0243172319044648,0.7599134970145264,,,,,,,,
Q9NW38,['FANCL'],0.4626626475298738,,,,,,,,,,,0.0226285352444325,0.7599134970145264,,,,,,,,
P11274,['BCR'],0.4625077545504304,0.6084443674022559,,0.6037090559615403,,,,,,,,0.0638327337492202,,,,,,,,,
Q9UI95,['MAD2L2'],0.4623443982105619,,,,,,,,,,,0.0121586159522324,0.7599134970145264,,,,,,,,
Q2NKJ3,['CTC1'],0.4619748183558772,,,,,,,,,,,,0.7599134970145264,,,,,,,,
Q16531,['DDB1'],0.4611047545613637,0.7559745935990463,,,,,,,,,,0.0501542908029587,,,,,,,,,
P51692,['STAT5B'],0.4564941812992752,,,0.5319394479101685,,,,,,,,0.4492172533060887,,,,,,,,0.607930797611621,
O95932,['TGM6'],0.453063837415146,,,,,,0.547137717850459,,,,,0.0243172319044648,,,,0.607930797611621,,,,,
P29375,['KDM5A'],0.4522974522082463,,,0.7219178221638001,,,,,,,,0.4415428474060379,,,,,,,,,
P29590,['PML'],0.4517657630697327,,,0.607930797611621,,,,,,,0.865457038266544,0.9472092210572424,,,,,0.4766684062273119,,,,
P60484,['PTEN'],0.4502275500208152,,,0.5847112185361772,,0.547137717850459,,,,,,0.5647983539123878,,,,,0.5234728063754225,,,,
P27797,['CALR'],0.4451409241362719,,,0.6205960225618631,,,,,,0.7651605609096501,,0.7191866968879012,,,,,,,,,
P46531,['NOTCH1'],0.4445803716359874,,,0.6227068933869035,,,,,,0.7262639233536617,,0.8014981125820168,,,,,,,,,
P01589,['IL2RA'],0.4437791322203548,0.6765675873871302,,,,,,,,,,0.9166830560759944,,,,,0.3411555653497014,,,,
P07333,['CSF1R'],0.4396301537199248,0.6064558278330987,,0.396843715107586,,,,,,,,0.7871158700137332,,,,,,,,,
Q93052,['LPP'],0.4390403351512765,,,0.4559480982087158,,,0.607930797611621,,,,,0.0121586159522324,,,,,,,,,
P08183,['ABCB1'],0.4353879857172995,0.670667485205337,,,,,,,,,,0.8999290641580294,,,,,,,0.0232306979172988,,
Q15022,['SUZ12'],0.4341607756880846,,,0.5319394479101685,0.3550195100714937,0.4377101742803672,,,,0.8138245466740056,,0.2760037866683829,,,,,0.4824960984010832,,,,
P00533,['EGFR'],0.4340416759748003,0.4848496245972111,,0.5319394479101685,,,,,,0.9525295597005896,,0.4616087878097107,,,,,0.2656657585562784,,,,
P35916,['FLT4'],0.4287435613452183,0.5760405515131504,,0.4559480982087158,,,,,,,,0.6850361933587472,,,,,,,,,
P14784,['IL2RB'],0.4269991962181264,0.676351180248714,,,,,,,,,,0.2671607637094729,,,,,0.4018633659295318,,,,
P15509,['CSF2RA'],0.4267856967285037,0.6689175605407297,,,,,,,,,,0.6622500683184084,,,,,,,,,
P04150,['NR3C1'],0.4249963348393475,0.6852953481082699,,,,,,,,,,0.2758270282503374,,,,,,,,,
P04049,['RAF1'],0.4206087284703986,0.5745126666935796,,0.4559480982087158,,,,,,,,0.1516378033200688,,,,,,,,,
P12268,['IMPDH2'],0.4205835728695286,0.6853687764305147,,,,,,,,,,0.1291852944924695,,,,,,,,,
P20839,['IMPDH1'],0.4189626739850344,0.685590192134057,,,,,,,,,,0.0714318687193654,,,,,,,,,
P40337,['VHL'],0.4166867723724426,,,0.4559480982087158,,,0.5592963338026914,,,,,0.2302385813661775,,,,,0.4165541825234827,,,,
P23458,['JAK1'],0.4133514922522106,0.1688480403470205,,0.4559480982087158,,0.5440980638624009,,,,,,0.2468668725994112,,,,,,,,,
P49711,['CTCF'],0.4130318171377652,,,0.4559480982087158,,0.547137717850459,,,,,,0.8226555300893681,,,,,,,,,
P35372,['OPRM1'],0.412964760527166,0.5792229543910723,,,,,,,,0.788677134253267,,0.0669634739673286,,,,,,,,,
P35125,['USP6'],0.4127220114694501,,,0.5699351227608948,0.4005998616445588,,,,,,,,,,,,0.3965076644722395,,,,
P26951,['IL3RA'],0.4106454831746602,0.6745687420406384,,,,,,,,,,0.0182379239283486,,,,,,,,,
Q15696,['ZRSR2'],0.4102791238243173,,,0.6037090559615403,0.2627596935935524,,,,,,,0.246556150407686,,,,,,,,,
Q04721,['NOTCH2'],0.4089655589297824,,,0.5319394479101685,0.2115055373303318,,,,,0.7262639233536617,0.607930797611621,0.3752278503653862,,,,,,,,,
Q06203,['PPAT'],0.4070629085549537,0.6695875750236419,,,,,,,,,,,,,,,,,,,
O15550,['KDM6A'],0.4067519981857891,,,0.6037090559615403,,,,,,0.3884836023478659,,0.7562990168879004,,,,,,,,,
P13639,['EEF2'],0.4059010272459643,0.665747032561519,,,,,,,,,,0.0385867186817376,,,,,,,,,
P49356,['FNTB'],0.4058550283891845,0.6537186041055777,,,,,,,,,,,,,,,0.2776419952692273,,,,
Q8NFU7,['TET1'],0.4048075684410139,,,0.5699351227608948,,,,,,0.607930797611621,,0.8978057697975276,,,,,,,,,
P10242,['MYB'],0.4030883481931246,,,0.5319394479101685,,,,,,,,0.925282382629356,,,,,0.6064134038716652,0.4118731153818732,,,
Q9NYF8,['BCLAF1'],0.402510622444554,,,0.3039653988058105,0.5719522293149014,,,,,,,0.6370123961198133,,,,,,,,,
O15350,['TP73'],0.4017422733010153,,,,,,,,,0.8619205446491169,,0.2206220097907736,,,,,0.4443163556144134,,,,0.5404639940482956
O43934,['MFSD11'],0.399146243059478,,,,,0.6565652614205508,,,,,,,,,,,,,,,
P49354,['FNTA'],0.3981548321168288,0.6537186041055777,,,,,,,,,,0.0243172319044648,,,,,,,,,
P55199,['ELL'],0.3970339928766639,,,0.5319394479101685,,,,,,0.8933646400174569,,0.4266334056230641,,,,,,,,,
P42771,['CDKN2A'],0.3967733558886336,,,0.6037090559615403,,,,,,,,0.7503764231715211,,,,,0.5145374288285358,,,,
Q8N726,['CDKN2A'],0.3967733558886336,,,0.6037090559615403,,,,,,,,0.7503764231715211,,,,,0.5145374288285358,,,,
Q9UQQ2,['SH2B3'],0.3965465158390659,,,0.6205960225618631,,,,,,,,0.2038829474679502,,,,,0.5432430564101403,,,,
P62937,['PPIA'],0.3961124083382008,0.6497510412796957,,,,,,,,,,0.0364758478566972,,,,,,,,,
Q13882,['PTK6'],0.3951741536366711,0.1215861595223242,,0.5319394479101685,0.4168099919766798,,,,,,,0.030396539880581,,,,,,,,,
P35367,['HRH1'],0.3950426402282824,0.6450821241323312,,,,,,,,,,0.0946604446038858,,,,,,,,,
Q5H9F3,['BCORL1'],0.3945359348902215,,,0.6395938599872263,,,,,,,,0.1877558913979395,,,,,,,,,
Q10571,['MN1'],0.393387882071837,,,0.6037090559615403,,,,,,,,0.867682777691038,,,,,,,,,
Q76L83,['ASXL2'],0.3913019771276487,,,0.3419610736565368,0.5475816217746434,,,,,,,0.476556723601075,,,,,,,,,
O75081,['CBFA2T3'],0.3907711744312891,,,0.607930797611621,,,,,,,,0.4059549824251331,,,,,0.5167378005765578,,,,
Q03111,['MLLT1'],0.3889506533827124,,,0.607930797611621,,,,,,,,0.6372698594679764,,,,,,,,,
P20151,['KLK2'],0.3877303319925504,,,0.3039653988058105,,,0.547137717850459,,,,,0.6596049154086089,,,,,,,,,
P42229,['STAT5A'],0.3873702363166456,,,,,,,,,,,0.473039003301393,,,,,0.2525344533278674,,,0.607930797611621,
P35658,['NUP214'],0.3858666005368294,,,0.5699351227608948,,,0.1945378552357187,,,,,0.7268252069437422,,,,,,,,,
O14686,['KMT2D'],0.3857387072200829,,,0.6037090559615403,,,,,,,,0.616036541579776,,,,,,,,,
Q9UER7,['DAXX'],0.38373111799792,,,0.5319394479101685,,,,,,0.7593953434480616,,0.1955108417117299,,,,,,,,,
P55197,['MLLT10'],0.3822909435519064,,,0.5699351227608948,,,0.1945378552357187,,,,,0.4621494166174726,,,,,,,,,
Q9UM73,['ALK'],0.3819796819256973,0.1367844294626147,,0.5319394479101685,,,,,,,0.607930797611621,0.415880345104281,,,,,,,,,
O14497,['ARID1A'],0.3812662724984287,,,0.5319394479101685,,,,,,0.7200963851344128,,0.2290158828243513,,,,,,,0.0090663709390103,,
Q9NPH5,['NOX4'],0.3788839701897332,,,,,,,,,,,0.3060912703085452,,,,,,,,0.607930797611621,
Q9H4B7,['TUBB1'],0.3775984938191949,0.603282640678802,,,,,,,,,,,,,,,0.3567641885783798,,,,
Q92769,['HDAC2'],0.3770452060442366,0.497703483784413,,,,,,,,0.8783739089742532,,0.5719730096059539,,,,,,,,,
Q00987,['MDM2'],0.3769240492570289,0.2477923401465248,,0.4559480982087158,,,,,,0.9280612982633606,,0.8813492473750096,,,,,0.430552312634455,,,,
Q09472,['EP300'],0.3754193077317814,,,0.5699351227608948,,,,,,,,0.7433376626014089,,,,,0.458049259027961,,0.0204300921980748,,
Q9UPS8,['ANKRD26'],0.3747356997203205,,,,,,,,,,,0.1696194716857418,0.607930797611621,,,,,,,,
Q5T890,['ERCC6L2'],0.3730288272095224,,,,,,,,,,,0.1134659582429675,,,,0.607930797611621,,,,,
Q01105,['SET'],0.3722293898260043,,,0.5699351227608948,,,,,,,,0.847079179414951,,,,,,,,,
Q9H0P0,['NT5C3A'],0.3719782739499993,,,,0.607930797611621,,,,,,,0.0789043514400083,,,,,,,,,
P01106,['MYC'],0.3710153421904845,,,0.4559480982087158,0.22563920656651,,,,,0.9073753258419252,,0.9675094185822362,,,,,0.4696451168182376,,,,
P06239,['LCK'],0.3708655485927642,0.491952029789335,,0.4559480982087158,,,,,,,,0.1847975454964631,,,,,,,,,
Q93074,['MED12'],0.3699889974126026,,,0.5319394479101685,,,,,,0.6058581833457621,,0.0419438476418817,,,,,,,,,
P49019,['HCAR3'],0.3695798546847018,,,,0.607930797611621,,,,,,,,,,,,,,,,
O60224,['SSX4'],0.3695798546847018,,,0.607930797611621,,,,,,,,,,,,,,,,,
Q13509,['TUBB3'],0.3679090339789987,0.603282640678802,,,,,,,,,,0.0379956748507263,,,,,,,,,
Q15306,['IRF4'],0.3678002765423032,,,0.4559480982087158,,,,,,,,0.5474997205474296,,,,,0.4586386141623123,0.2925666963505926,,,0.4241406494471402
P68371,['TUBB4B'],0.3676780465698209,0.603282640678802,,,,,,,,,,0.030396539880581,,,,,,,,,
Q13885,['TUBB2A'],0.3671236767877938,0.603282640678802,,,,,,,,,,0.0121586159522324,,,,,,,,,
P07437,['TUBB'],0.3671236767877938,0.603282640678802,,,,,,,,,,0.0121586159522324,,,,,,,,,
P04350,['TUBB4A'],0.3671236767877938,0.603282640678802,,,,,,,,,,0.0121586159522324,,,,,,,,,
Q3ZCM7,['TUBB8'],0.3667540969331091,0.603282640678802,,,,,,,,,,,,,,,,,,,
Q9BVA1,['TUBB2B'],0.3667540969331091,0.603282640678802,,,,,,,,,,,,,,,,,,,
Q9BUF5,['TUBB6'],0.3667540969331091,0.603282640678802,,,,,,,,,,,,,,,,,,,
Q13315,['ATM'],0.3667249806224875,,,0.565713381110814,,,,,,,,0.5077410997101544,,,,,0.5247645979758564,,,,
Q08722,['CD47'],0.3653941953802383,0.546614221885849,,,,,,,,,,0.8867696360468538,,,,,0.4541850988956422,,,,
P26368,['U2AF2'],0.3645177719691047,,,,0.5960155755215372,,,,,,,0.0717696080513719,,,,,,,,,
Q13948,['CUX1'],0.3636507142912351,,,0.5699351227608948,,,,,,,,0.5648537824298886,,,,,,,,,
P39880,['CUX1'],0.3636507142912351,,,0.5699351227608948,,,,,,,,0.5648537824298886,,,,,,,,,
P30279,['CCND2'],0.3635181081880503,,,0.4559480982087158,0.3116117002664652,,,,,,,0.6271517073915849,,,,,,0.3981946724356118,,,
P16581,['SELE'],0.3622903380997669,0.5555595754944128,,,,,,,,,,0.8076104170119006,,,,,,,,,
O15379,['HDAC3'],0.361913263794224,0.497703483784413,,,,,,,,0.6685560124845639,,0.6321083579922572,,,,,,,,,
P28482,['MAPK1'],0.3613545187709918,0.0759913497014526,,0.4559480982087158,,,,,,0.9337100911311562,,0.396414681063269,,,,,,,,,
P43405,['SYK'],0.3607358493215856,0.4586696664602495,,0.4559480982087158,,,,,,,,0.9326875198331548,,,,,,,,,
