symbol	globalScore	otGeneticsPortal	eva	geneBurden	genomicsEngland	gene2Phenotype	uniprotLiterature	uniprotVariants	orphanet	clingen	cancerGeneCensus	intogen	evaSomatic	cancerBiomarkers	chembl	crisprScreen	crispr	slapenrich	progeny	reactome	sysbio	europepmc	expressionAtlas	impc	maxClinicalTrialPhase	isInMembrane	isSecreted	hasLigand	hasSmallMoleculeBinder	hasPocket	mouseOrthologMaxIdentityPercentage	hasHighQualityChemicalProbes	geneticConstraint	mouseKoScore	geneEssentiality	hasSafetyEvent	isCancerDriverGene	paralogMaxIdentityPercentage	tissueSpecificity	tissueDistribution
BCL2	0.6223598589937014	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.4559480982087158	No data	No data	No data	0.8626533382448229	No data	0.2837012415290223	No data	No data	No data	No data	0.9607029399739868	No data	0.44540007669598913	1	0	0	1	1	0	0.5188299999999998	1	-0.24369660345905397	-0.9497681429128482	0	-1	No data	0	-1	-1
TOP2A	0.6135611979478398	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9930634020162811	No data	No data	No data	No data	No data	No data	0.323963580060743	No data	No data	1	0	0	1	1	1	0.47419999999999973	No data	-0.7740154198791415	-0.8333453797635532	-1	No data	No data	-0.2668199999999999	0.5	0
DDX41	0.6102055629297896	No data	0.8004928777551021	0.70157313422026	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.3314162096111645	No data	No data	No data	0.7554914610535307	No data	No data	No data	0	0	0	0	0	0.9437300000000001	No data	-0.2145238591373203	-0.6192584199503304	-1	No data	No data	0	-1	-1
RARG	0.6050768680468014	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9615227967854626	No data	No data	No data	No data	No data	No data	0.6756541157626604	No data	No data	1	0	0	1	1	0	0.9008800000000001	1	-0.842779745780371	-0.7868117977957109	0	-1	No data	-0.28414	0.5	-1
POLD2	0.6035227897476807	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9897095077894698	No data	No data	No data	No data	No data	No data	0.06079307976116211	No data	No data	1	0	0	0	0	1	0.7121549999999999	No data	-0.2681808710147947	No data	-1	No data	No data	No data	-1	-1
POLE2	0.6024957276470719	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9897095077894698	No data	No data	No data	No data	No data	No data	No data	0.02700429641134989	No data	1	0	0	0	0	0	0.5066400000000002	No data	-0.17993331944155033	-0.8151437838902827	-1	No data	No data	No data	0.5	0
PRIM2	0.6022292602562843	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9897095077894698	No data	No data	No data	No data	No data	No data	0.01823792392834863	No data	No data	1	0	0	0	0	0	0.46955000000000024	No data	0.15482392165034375	No data	No data	No data	No data	No data	0.5	-1
POLA1	0.6016748904742573	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9897095077894698	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	0	0	1	1	0	0.4005450000000003	No data	-0.9982287976661804	0	-1	No data	No data	0	-1	0
POLE3	0.6016748904742573	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9897095077894698	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	0	0	0	0	0	0.6258499999999998	No data	0.434986455511565	-0.7279090292495205	0	No data	No data	No data	-1	-1
POLD3	0.6016748904742573	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9897095077894698	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	0	0	0	0	0	No data	No data	-0.8430923108981038	-0.18137999769864382	-1	No data	No data	No data	-1	-1
