parent_compound_id,target_id,target_uniprot_ids,compound_specificity
CHEMBL1489,CHEMBL3979,"['A8K6J6', 'B4E3V3', 'B6ZGS1', 'B7Z3W1', 'E9PE18', 'Q03181', 'Q5D1P0', 'Q7Z5K0', 'Q9BUD4']",acceptable
CHEMBL1489,CHEMBL395,no_uni_id!,acceptable
CHEMBL1489,CHEMBL1293258,"['A8K4B6', 'B7Z4Z5', 'B7Z6M9', 'B7Z9Q2', 'F5H383', 'O09064', 'O09144', 'O14510', 'O35273', 'P84022', 'Q92940', 'Q93002', 'Q9GKR4']",acceptable
CHEMBL1489,CHEMBL1909043,['A6XA80'],acceptable
CHEMBL1489,CHEMBL1798,"['B2R954', 'D3DTE4', 'Q5JS94', 'Q8IV19', 'Q9Y271']",acceptable
CHEMBL1489,CHEMBL4358,"['O19043', 'P12530']",acceptable
CHEMBL1489,CHEMBL4644,"['P41968', 'Q4KN27', 'Q9H517']",acceptable
CHEMBL1489,CHEMBL259,"['B2RAC3', 'P32245', 'Q16317', 'Q3MIJ6']",acceptable
CHEMBL1489,CHEMBL4608,"['B0YJ34', 'P33032', 'Q502V1']",acceptable
CHEMBL1489,CHEMBL216,"['P11229', 'Q96RH1']",acceptable
CHEMBL1489,CHEMBL211,"['P08172', 'Q4VBK6', 'Q9P1X9']",acceptable
CHEMBL1489,CHEMBL245,"['P20309', 'Q0VAJ8', 'Q4QRI3', 'Q5VXY2', 'Q9HB60']",acceptable
CHEMBL1489,CHEMBL1821,"['B2RPP4', 'P08173', 'Q0VD60', 'Q4VBK7']",acceptable
CHEMBL1489,CHEMBL2035,"['P08912', 'Q96RG7']",acceptable
CHEMBL1489,CHEMBL4777,"['B2R6H5', 'P25929']",acceptable
CHEMBL1489,CHEMBL4018,"['P49146', 'Q13281', 'Q13457', 'Q4W5G7', 'Q6AZZ6', 'Q9UE67']",acceptable
CHEMBL1489,CHEMBL3048,"['P29476', 'P70594']",acceptable
CHEMBL1489,CHEMBL3464,"['O70515', 'O70516', 'P29477', 'Q5SXT3', 'Q6P6A0', 'Q8R410']",acceptable
CHEMBL1489,CHEMBL236,"['B5B0B8', 'P41143']",acceptable
CHEMBL1489,CHEMBL237,"['E5RHC9', 'P41145', 'Q499G4']",acceptable
CHEMBL1489,CHEMBL233,"['B0FXJ1', 'B2R9S7', 'B8Q1L7', 'B8Q1L8', 'B8Q1L9', 'E7EWZ3', 'G8XRH6', 'G8XRH8', 'P35372', 'Q12930', 'Q4VWM1', 'Q4VWM2', 'Q4VWM3', 'Q4VWM4', 'Q4VWM6', 'Q4VWX6', 'Q5TDA1', 'Q6UPP1', 'Q6UQ80', 'Q7Z2D8', 'Q86V80', 'Q8IWW3', 'Q8IWW4', 'Q9UCZ4', 'Q9UN57']",acceptable
CHEMBL1489,CHEMBL1827,"['A0AV69', 'A8K2C4', 'O75026', 'O75887', 'O76074', 'Q86UI0', 'Q86V66', 'Q9Y6Z6']",acceptable
CHEMBL1489,CHEMBL250,"['A3KMC8', 'A8K2H5', 'P25105']",acceptable
CHEMBL1489,CHEMBL240,"['A5H1P7', 'C4PFH9', 'D3DX04', 'O75418', 'O75680', 'Q12809', 'Q708S9', 'Q9BT72', 'Q9BUT7', 'Q9H3P0']",acceptable
CHEMBL1489,CHEMBL1909044,['Q690N0'],acceptable
CHEMBL1489,CHEMBL4074,"['O02852', 'P12822', 'P22968']",acceptable
CHEMBL1489,CHEMBL4801,"['B5MDZ1', 'P29466', 'Q53EY6', 'Q6DMQ1', 'Q6GSS3', 'Q6PI75', 'Q9UCN3']",acceptable
CHEMBL1489,CHEMBL4071,"['P08311', 'Q6IBJ6', 'Q9UCA5', 'Q9UCU6']",acceptable
CHEMBL1489,CHEMBL248,"['P08246', 'P09649', 'Q6B0D9', 'Q6LDP5']",acceptable
CHEMBL1489,CHEMBL332,"['P03956', 'P08156']",acceptable
CHEMBL1489,CHEMBL321,"['B2R7V9', 'P14780', 'Q3LR70', 'Q8N725', 'Q9H4Z1', 'Q9UCJ9', 'Q9UCL1', 'Q9UDK2']",acceptable
CHEMBL1489,CHEMBL299,"['B5BU22', 'P17252', 'Q15137', 'Q32M72', 'Q96RE4']",acceptable
CHEMBL1489,CHEMBL3385,"['A8CZ58', 'B0LPG3', 'P27361', 'Q8NHX1']",acceptable
CHEMBL1489,CHEMBL4040,"['A8CZ64', 'P28482']",acceptable
CHEMBL1489,CHEMBL260,"['A6ZJ92', 'A8K6P4', 'B0LPH0', 'B5TY32', 'O60776', 'Q13083', 'Q14084', 'Q16539', 'Q8TDX0']",acceptable
CHEMBL1489,CHEMBL4445,"['A1A441', 'A8K3B7', 'A8W6Z7', 'A8W6Z8', 'B5BUA2', 'Q08209', 'Q8TAW9']",acceptable
CHEMBL1489,CHEMBL203,"['O00688', 'O00732', 'P00533', 'P06268', 'Q14225', 'Q68GS5', 'Q92795', 'Q9BZS2', 'Q9GZX1', 'Q9H2C9', 'Q9H3C9', 'Q9UMD7', 'Q9UMD8', 'Q9UMG5']",acceptable
